time,proto,data_len,ip_src,ip_dst,src_port,dst_port
1551430737.869849,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.872875,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.872888,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.872893,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.872896,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873779,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873791,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873796,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873801,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873806,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.87381,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873815,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873917,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873933,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873938,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873943,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873948,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873955,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.87396,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873965,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873969,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873974,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873979,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873984,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873988,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873994,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.873999,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.874006,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.874015,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.874022,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876907,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876928,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876935,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.87694,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.87695,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.87696,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876967,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876973,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876978,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876984,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.87699,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.876996,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.877002,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880146,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880179,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880186,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880192,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880209,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880223,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880234,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880241,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880247,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880252,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880258,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.880264,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885707,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885756,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885768,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885777,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885786,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885801,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885816,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885827,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885835,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885844,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885857,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885866,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885874,6,1418,216.58.211.54,192.168.1.149,443,53954
1551430737.885882,6,1418,216.58.211.54,192.168.1.149,443,53954
